Situation,grouped_emotion,empathetic_dialogues,labels,new_label_withoutemotion_single,new_label_withoutemotion_whole,new_label_withemotion,new_label_withcontext
Last night I heard strange noises coming from my basement. I creeped down the stairs with a flashlight. I nearly jumped out of my skin when I saw a humongous rat in the corner!,afraid,In the middle of the night I heard some weird noises coming from my basement. I grabbed my flashlight and baseball bat and tip-toed down there.,Should have grabbed the gun.," Oh, I would be scared to see that! ", I hope so too! It is a good idea! , I wouldnt be able to go to the store and I was so scared. , I'm so scared. 
My mom and sister threw me a baby shower when I came into town for a visit.  I had no idea it was happening.,excited,that was very nice of them congratulations,"Thank you!  It was so nice, I had no idea it was happening.  They're not usually so good with secrets haha", It was! I was so happy and happy. , Thanks. I really appreciated it.  I was really happy to see them. , Yeah it was great! I was so excited to see them! ," Yes, it was a lot of fun and I'm glad they did. "
"I just applied for a new job.  After the interview, I'm very optimistic that I will get the position",grateful,"Oh really, do you feel like you did a great job?",I do!  I'm feeling very optimistic about it," I did, I did not want to get into an interview. I am so ready to go. "," I did, but I was so nervous. I was so nervous about it. ", I did. I am so glad I did well. , I did. I was feeling really good about my job. 
I loaned some money to my friend at work. Turns out he quit a couple days ago and I won't be getting my money back as I have no way of contacting him..,annoyed,Wow! What a jerk for him to up and leave with no way to contact him. Was it a lot of money?,"It was a medium amount of money but still, he did me so dirty.", It was a nice gesture of him. He's always so sweet. , It was a good thing.  I am happy for him and never learned and need to be a good job. ," No, I think he was going to have no matter how bad it was. ", I was very angry. I was so angry at him. 
I was out walking late last night and seen someone following me. They looked like they were carrying a weapon. ,,Oh my god. What happened?,"Well, I started walking much faster. It looked like they were carrying a weapon or something.", I was so mad.  I was so mad at the store. , It was pretty gross. I was so mad. I was so mad! , I was not at all. I was so mad. ," I just got to go out of the house, but it was a big storm, and I was so upset. "
" I had to have this oral surgery once, I remember it very well because it was an uncommon procedure. They had to go up in my gums and attached a chain to one of my eye teeth and sew it back up and then once everything healed the orthodontist pulled the tooth down slowly over several months by attaching the chain to my braces.",grateful,"Yeah, it was the orthodontist but my teeth are so straight and pretty now, it sure was painful and hard to put faith in someone over 5 years of surgeries and appliances in my mouth and all that jazz. I remember asking everytime, is this really going to be worth it?","I had braces growing up too, the worst part for me was the molding!", I do not like being alone too far from my life , It was a really good idea.  I was so scared. , It's good to have some good luck! , I was so happy. I just had to put my food back and I was able to take it. 
I always like to be ready before going on a trip.,prepared,That's a good idea. There's a lot of preparation that goes into a good trip.,"Yes, and it really sucks if you forget something important.", What did you do , I think I will. It will be a good day. , I am. , It's a good trip. 
"Yesterday, I was crossing the street and the person in front of me was hit by car which didn't stop at the red light",,"Yesterday, I was crossing the street and the person in front of me was hit by car which didn't stop at the red light",O no! That's a terrible thing to have happen or see., That's so sad. It's still a good thing you can do that. , I know. It really is. I am so sad to hear about it. , I bet you were embarrassed. , Oh no.  I hope you were able to get it fixed.  
"I left my car to my cousin and when I got it back, it was filled with used diapers. ",disgusted,It was filled with used diapers!,"Wow, that is so disgusting."," thats great, I am sure you will do great! ", It was a bad experience for a while. ," Oh, that is a good thing to have.  I hope you get it.  I am so happy for you. ", That's a nice thing. I was so happy when I had to get to the game! 
Last christmas i got a car!,excited,Last christmas i got a car!,Wow.Really? What kind?, That's great! What kind of car? , I am studying. I think I will do well. , That's awesome. Did you get it? , That's awesome! I bet you are very proud of her. 
My dog got sick last week and was vomiting alot. She vomited in the living room and it stuck so bad I almost vomited trying to clean it up.,disgusted,Have you ever had a dog that got sick and vomited in the house?,"Omg my current dog does that sometimes. She pukes up bile if she doesn't eat, so I always have to make sure she is eating her food.", I was so mad at her. ,," No, I was not able to clean it up. "," No, but I had to work and I was so mad. I was so mad. "
Am very happy to have the best family in the world,excited,"""Am very happy to have the best family in the world"".","That's amazing, It's always nice to get on with your family! Have you always got on with them? ", That's great. What are you going to do with them? ,, I know right.  I'm going to miss them.  I hope they can get a good job. , That sounds really awesome. You have a lot of fun. 
I saw a kitten get run over by a car.,disappointed,That is so sad. Did the kitten die? I hope not.,I am not sure as I could not stop because of all the traffic., I think he is really sick. , We were just not going to work. I am so thankful that the way he won't be able to get the job. , I'm too embarrassed to hurt her. ," Yeah, my dog did it. "
I was walking down the beach the other day and saw a guy do a double backflip from the ground. I wish I could do that,impressed,I was super impressed. He must have been a gymnast or something,I can barely walk much less imagine that., That's awesome. I am sure he will do it! , That is true. I have an A's.  ," He was, I was so surprised that he was able to be a kid. ", He is going to have a great time. I was so excited for him to see him. 
I am pumped for this weekend.  I am going to the lake for a 3 day weekend.,,I have a jet ski.  It is a blast to ride on the lake with it.,Oh for sure! I love riding jet skis!, I bet you are nervous. It's been a great day to have a great time. ,, I am sure you are going to have some fun. , I know that feeling.  I just had to wait for a cruise to Florida. 
I saw the grossest food at my friends house. It was molded beyond belief.,disgusted,I was at a friends house and he had the grossest kitchen i had ever seen!,"I feel like this is me. I'm clean, but I'm stuck with a dirty roommate who doesn't do dishes. And I also live in a place that is old and looks terrible to begin with. Sorry you have to deal with that, because I know I hate living in it!", That's really nice of you. Did you get a new car? , I was scared. I was so scared. , That is so gross. , I bet that was so fun. 
I put way too much on my credit card.,disgusted,"It is, I don't know what to do.",You can get a adviser, I am sorry to hear that. It's hard to lose your speech to your health! ," I know, I have a doctor's appointment in the morning. I'm so nervous, it's the first time I've been studying for a long project, so I'm really nervous. ", I don't know how to do it. , I know. I was so angry with the person who did it. 
I borrowed some money from my friend. I've a confidence I'll repay this month to him.,grateful,Were you in a tight spot? How much did you borrow?,"Yeah, Medical emergency. I borrowed $5000. Hope I'll repay this month.", A coworker of my coworker. He is so kind and I am so thankful. He is so important to me. , I'm in a new job now. I am sure it will be a great job. ," I got a new job, but I had no idea how to go. I am so thankful for it! ", I was at the airport in front of my life. I was so upset. 
I'm quite upset at those I know that complain all the time. I get that we all can once in awhile..but incessantly day in and out no matter WHAT way things go...so either way? That's a problem.,annoyed,I'm quite upset at those I know that complain all the time.,You shouldn't let those kind of people upset you., I hope you didn't take it to the vet. , I'm so sad about it. I'm so sorry to hear that. , I'm so sorry to hear that. I'm sorry to hear that. Did you find any of it? ," I'm not sure why, I'm not sure I'm sure that it will be a good thing. "
I wanted a friend to help me to move to my new apartment but he didn't help.,disappointed,I wanted a friend to help me to move to my new apartment but he didn't help me as he said.,Oh no! He doesn't seem like such a good friend then. I hate it when friends pull stuff like that!," I am sorry to hear that, I hope you guys can find some soon. ",, That's really nice. I hope you feel better. ," I know, I'm not sure but I don't. "
I was very positive about my team's chances to win the Superbowl in 2006. The Chicago Bears got an early lead against the Colts.,grateful,The Colts did! But I was so excited when Devin Hester returned the opening kickoff for a touchdown.,"Ohh you have a really good memory. I am very bad at remembering things, lol.", Oh that was nice! What did you like? , He's 13. I am very happy with him. , Oh to a top being a nice to the first time. , Haha 
"It may sound ridiculous and narcissistic....but I'm actually super envious of myself 3 years ago, that guy had a shredded 8 pack and was making $2000 a week",annoyed,"This may sound narcissistic and just plain weird...but I'm actually envious of myself 3 years ago, that guy was shredded with an 8-pack and making $2000 a week. I hate his guts lol",I wish i could make that type of money!, Oh wow. That is a good idea. That's not what I'm proud of you.  , I hope so. I hope I can do that. , It's good to think about it. ," I bet you are so proud of you, I'm sure he will get better. "
i though i saw a ghost in my closet ,afraid,Did you think a ghoul or monster were in there? I had similar fears growing up.,I thought we had a ghost for a long time, I was just nervous about it. I think it was a nice surprise ," No, I was pretty scared. I was so scared to look forward to it. ", I was able to have a long time with my family.  ," Oh, I would have been really nice. "
I remember when a Whopper was 99 cents.  Those were the good old days.,disappointed,"Yes, those were the good old days!",this is true., That's great! I hope you were able to do it! ," Yes, I was so happy to see them all.  ", I think its too scary.  I think I am going to have to go to the gym that I am not a big fan now! , I was so happy for you!  
I wanted to get together with some friends this evening after work. But apparently everyone I know is out of town. So there's no one for me to do anything with. I don't know how I'll pass the evening.,disappointed,Yeah but I've been alone so much lately. I really need a change of pace.,"I get you, I've been in your situation before", That's a good way to get a chance to go through that. ," Yeah, I hope so. I'm a little bummed out. I really like to get a new job! ", I am glad you get to find it. , I am so sorry. I hope you get a good chance. 
"I was riding the train today, and some guy just had an open wound, practically gushing blood. He didn't seem to really mind and everyone else seemed to just be unphased by it. I guess that's city life for you.",disgusted,"I was riding the train today, and some guy just had an open wound, practically gushing blood. He didn't seem to really mind and everyone else seemed to just be unphased by it. I guess that's city life for you.",I see that more in the country I guess. That would be horrifying. But maybe he is just immune to pain?, It's not for a good person.  I'm sure the guy is not too bad. ," I know, I'm really sad about it. It's a bad thing. ", Sounds like you're in a good way. , I am so angry.  I was so angry because I had to deal with the girl who seemed to be wrong. 
i am so scared i want to finish all the book today and i may not be able to finish it,,"i wanted to finish the book today, and i'm afraid that i can't finish it today.",Can you tell me the name of the book? I find myself being engaged by a lot of novels these days., I would be mad too!  , yes i did. i was scared to do that , I bet you did great! , that stinks 
